region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
东城, 西 , 2室1厅 , 94.05, 精装,海晟名苑南区 ,2004,17,工体,1190,126529.0
东城, 南 北 , 2室1厅 , 69.06, 精装,土儿胡同 ,2003,6,交道口,870,125978.0
东城, 西北 , 2室1厅 , 79.82, 简装,和平里二区 ,2007,20,和平里,760,95215.0
东城, 东南 , 2室1厅 , 70.13, 精装,国瑞城中区 ,2006,16,崇文门,720,102667.0
东城, 南 北 , 2室1厅 , 65.06, 精装,车辇店胡同 ,2001,11,安定门,740,113742.0
东城, 南 , 1室1厅 , 44.17, 毛坯,东厂胡同 ,1987,6,灯市口,470,106408.0
东城, 南 北 , 2室1厅 , 66.87, 简装,前门东大街 ,1979,12,崇文门,583,87185.0
东城, 东 西 , 2室1厅 , 74.56, 简装,民安小区东直门内北小街 ,2003,16,东直门,660,88520.0
东城, 南 北 , 1室1厅 , 42.66, 精装,胡家园小区 ,1989,12,东直门,435,101970.0
东城, 北 , 1室1厅 , 49.36, 简装,左安浦园 ,2004,16,左安门,412,83469.0
东城, 东南 , 2室1厅 , 49.68, 毛坯,景泰西里 ,1986,6,永定门,385,77496.0
东城, 北 , 1室0厅 , 36.31, 精装,西营房 ,2006,17,安定门,410,112917.0
东城, 西 南 北 , 3室1厅 , 88.09, 简装,安定路 ,1995,20,安贞,720,81735.0
东城, 南 西 北 , 3室2厅 , 134.03, 简装,绿景苑 ,2002,18,广渠门,1139.3,85004.0
东城, 南 北 , 2室1厅 , 54.1, 精装,定安里 ,1990,6,永定门,375,69317.0
东城, 西南 南 , 2室1厅 , 76.87, 精装,富贵园二区 ,2003,18,东花市,636,82738.0
东城, 南 , 2室1厅 , 80.89, 简装,新景家园西区 ,2004,18,崇文门,765,94573.0
东城, 南 , 2室1厅 , 70.85, 简装,民安小区东直门内北小街 ,2003,16,东直门,755,106564.0
东城, 北 南 , 3室1厅 , 77.99, 精装,和平里七区 ,1979,3,和平里,780,100013.0
东城, 南 北 , 2室1厅 , 54.95, 精装,安外大街3号院 ,1988,6,安定门,538,97908.0
东城, 南 北 , 2室1厅 , 79.81, 简装,法华南里 ,1990,6,崇文门,715,89588.0
东城, 东北 , 2室1厅 , 90.35, 简装,建予园 ,1999,16,永定门,555,61428.0
东城, 东南 , 2室1厅 , 124.69, 精装,朝阳首府 ,2009,11,朝阳门内,1200,96239.0
东城, 南 北 , 2室1厅 , 74.41, 精装,建国门内大街 ,1996,6,建国门外,798,107244.0
东城, 东南 , 4室2厅 , 232.73, 精装,万国城MOMA ,2002,25,东直门,2260,97109.0
东城, 南 北 , 2室1厅 , 59.88, 简装,前门东大街 ,1979,10,崇文门,515,86006.0
东城, 东南 , 3室2厅 , 148.54, 简装,水上华城 ,2005,23,广渠门,1485,99974.0
东城, 西南 , 3室2厅 , 133.21, 毛坯,领行国际 ,2005,21,广渠门,1050,78823.0
东城, 南 北 , 2室1厅 , 139.62, 精装,雅宝公寓 ,1999,7,建国门内,1420,101705.0
东城, 南 北 , 2室1厅 , 59.01, 简装,安德里北街24号院 ,1983,6,安定门,690,116930.0
东城, 南 北 , 2室1厅 , 69.46, 精装,朝阳门南小街 ,2004,14,朝阳门内,745,107256.0
东城, 南 北 , 3室2厅 , 145.07, 精装,左安漪园 ,2004,17,左安门,1280,88234.0
东城, 南 北 , 2室1厅 , 62.2, 精装,富莱茵花园 ,1995,6,永定门,430,69132.0
东城, 南 北 , 3室1厅 , 80.37, 简装,东四西大街50号院 ,1988,6,灯市口,850,105761.0
东城, 西 , 1室0厅 , 76.63, 简装,冠城名敦道 ,2009,23,广渠门,430,56114.0
东城, 西南 , 2室1厅 , 97.85, 精装,水上华城 ,2004,20,广渠门,930,95044.0
东城, 西 北 , 3室2厅 , 123.93, 简装,左安漪园 ,2004,15,左安门,940,75850.0
东城, 南 北 , 2室2厅 , 91.22, 简装,中海紫御公馆 ,2010,19,陶然亭,1050,115107.0
东城, 东 南 北 , 4室1厅 , 122.18, 简装,小黄庄二区 ,1996,12,安贞,1220,99853.0
东城, 南 , 2室1厅 , 89.47, 简装,新景家园东区 ,2004,17,崇文门,860,96122.0
东城, 南 北 , 2室1厅 , 120.03, 简装,绿景苑 ,1999,14,广渠门,1010,84146.0
东城, 东北 , 2室1厅 , 110.95, 简装,远洋德邑 ,2002,22,广渠门,950,85625.0
东城, 东 西 , 2室1厅 , 88.78, 精装,华龙美晟 ,2009,12,永定门,678,76369.0
东城, 南 北 , 2室1厅 , 65.94, 其他,景泰东里 ,1994,6,蒲黄榆,541,82045.0
东城, 南 , 2室1厅 , 81.62, 精装,北京上舍 ,2008,15,广渠门,610,74737.0
东城, 南 , 2室2厅 , 84.62, 精装,府上嘉园 ,2008,11,安定门,1100,129993.0
东城, 西 , 2室1厅 , 130, 简装,丽水湾畔家园 ,2002,21,广渠门,988,76000.0
东城, 西北 , 2室1厅 , 61.03, 其他,安德里北街25号院 ,1990,17,安定门,671,109946.0
东城, 东 , 2室1厅 , 167.94, 精装,雍和家园二期 ,2005,6,和平里,1295,77111.0
东城, 东 西 , 3室2厅 , 96.98, 精装,竹杆胡同 ,2003,16,朝阳门内,950,97959.0
东城, 西南 , 2室1厅 , 120.38, 精装,朝阳首府 ,2009,15,朝阳门内,1180,98023.0
东城, 西南 , 2室1厅 , 93.43, 精装,花市枣苑三期 ,2005,18,东花市,949,101574.0
东城, 南 , 1室1厅 , 61, 精装,景泰西里西区 ,2005,10,永定门,438,71804.0
东城, 南 北 , 3室2厅 , 166.49, 精装,水上华城 ,2005,23,广渠门,1550,93099.0
东城, 南 北 , 2室1厅 , 50.48, 精装,交道口北二条35号院 ,1988,6,交道口,686,135896.0
东城, 东 , 4室1厅 , 134.03, 简装,建予园 ,1999,16,永定门,828,61778.0
东城, 南 北 , 2室1厅 , 67.38, 其他,北竹杆胡同 ,2003,6,朝阳门内,760,112794.0
