region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
丰台, 南 北 , 3室2厅 , 172.07, 精装,万科紫苑 ,2009,9,青塔,1100,63928.0
丰台, 西南 , 3室1厅 , 90.81, 精装,嘉园一里 ,1997,20,马家堡,475,52308.0
丰台, 东南 西北 , 3室1厅 , 77.26, 简装,芳古园一区 ,1992,25,方庄,540,69894.0
丰台, 南 , 1室1厅 , 35.63, 简装,玉林东里三区 ,1990,6,右安门外,248,69605.0
丰台, 南 , 2室2厅 , 106.88, 精装,威尔夏大道 ,2006,15,太平桥,900,84207.0
丰台, 东 西 , 3室1厅 , 75.33, 简装,邮局宿舍 ,1990,6,北大地,398,52835.0
丰台, 北 , 2室1厅 , 56.48, 精装,珠江骏景中区 ,2002,24,西罗园,290,51346.0
丰台, 西南 , 2室1厅 , 70.58, 精装,新华街五里 ,2000,24,看丹桥,375,53132.0
丰台, 南 北 , 2室2厅 , 91.88, 简装,保利百合 ,2009,20,丽泽,810,88159.0
丰台, 南 北 东 , 2室1厅 , 55.81, 简装,角门甲4号院 ,1993,6,角门,320,57338.0
丰台, 南 北 , 2室1厅 , 56.39, 简装,和义东里三区 ,1985,6,和义,258,45753.0
丰台, 西 , 1室1厅 , 66.98, 精装,三环新城8号院 ,2007,22,玉泉营,385,57480.0
丰台, 南 , 2室1厅 , 59.3, 简装,韩庄子三里 ,1980,6,看丹桥,330,55650.0
丰台, 西 , 2室1厅 , 76.18, 简装,东丽温泉 ,2002,24,洋桥,417,54739.0
丰台, 南 西 北 , 2室1厅 , 91.68, 简装,丰益花园东区 ,2003,28,丽泽,485,52902.0
丰台, 东南 , 2室1厅 , 96.18, 简装,星河城西区 ,2006,20,马家堡,615,63943.0
丰台, 南 北 , 2室1厅 , 80.3, 毛坯,西马金润二区 ,1998,13,马家堡,408,50810.0
丰台, 南 北 , 2室1厅 , 90.36, 精装,建欣苑三里 ,2003,12,大红门,465,51461.0
丰台, 西南 , 2室2厅 , 91.32, 精装,角门东里 ,1998,18,角门,460,50373.0
丰台, 南 , 2室1厅 , 66.6, 简装,西罗园四区 ,1980,6,西罗园,368,55256.0
丰台, 东 , 2室1厅 , 90.99, 简装,星河城西区 ,2006,17,马家堡,618,67920.0
丰台, 西南 , 2室1厅 , 79.92, 简装,新华街八里 ,2002,23,看丹桥,410,51302.0
丰台, 东南 , 2室1厅 , 68.27, 简装,宋家庄家园 ,2010,29,刘家窑,270,39549.0
丰台, 南 北 , 2室1厅 , 53.09, 简装,五里店 ,1985,6,五里店,245,46149.0
丰台, 南 北 , 2室1厅 , 68.63, 精装,富卓苑 ,2001,5,马家堡,465,67755.0
丰台, 东 西 , 2室1厅 , 58.02, 简装,马家堡西里 ,1997,6,马家堡,320,55154.0
丰台, 东南 , 3室1厅 , 117.28, 简装,长安新城一区 ,2006,28,青塔,560,47749.0
丰台, 东南 , 2室1厅 , 59.99, 精装,芳群园一区 ,1990,25,方庄,399,66512.0
region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
通州, 南 北 , 3室1厅 , 110.81, 简装,新龙城 ,2007,11,回龙观,575,51891.0
通州, 南 北 , 2室1厅 , 73.39, 简装,怡海花园富泽园 ,1998,7,科技园区,478,65132.0
通州, 南 北 , 2室1厅 , 81.7, 简装,世嘉丽晶 ,2005,6,和义,386,47247.0
通州, 南 , 2室1厅 , 96.31, 简装,和光里 ,2005,16,五里店,465,48282.0
通州, 东 , 1室1厅 , 48.42, 简装,御景春天 ,2012,21,科技园区,259,53491.0
通州, 西南 , 2室1厅 , 95.58, 简装,彩虹新城 ,2008,12,枣园,418,43733.0
通州, 南 北 , 3室1厅 , 125.06, 精装,首开国风美唐一期 ,2012,11,回龙观,810,64769.0
通州, 南 , 2室1厅 , 54.1, 精装,五路通北街3号院 ,1978,5,六铺炕,799,147690.0
通州, 南 , 1室1厅 , 66.97, 简装,韩庄子小区 ,2008,24,看丹桥,385,57489.0
通州, 南 北 , 2室1厅 , 99.35, 简装,朝阳新城三区 ,2004,6,东坝,410,41269.0
通州, 南 北 , 2室1厅 , 57, 精装,康静里 ,1994,6,东坝,325,57018.0
通州, 南 , 1室1厅 , 62.95, 简装,金域华府一期 ,2012,28,回龙观,405,64337.0
region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
昌平, 南 北 , 3室1厅 , 110.81, 简装,新龙城 ,2007,11,回龙观,575,51891.0
昌平, 南 北 , 3室1厅 , 125.06, 精装,首开国风美唐一期 ,2012,11,回龙观,810,64769.0
昌平, 南 , 1室1厅 , 62.95, 简装,金域华府一期 ,2012,28,回龙观,405,64337.0
昌平, 南 北 , 2室1厅 , 101.44, 简装,龙锦苑东三区 ,2000,6,霍营,385,37954.0
